                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3496,                 1.2864,                 1.9193,                0.94822,                0.89743,                0.89811,                 0.6264,                 1.0282,                 1.1905,                 1.6689,             0.00057778,             0.00057778,             0.00057778
                     35,                 1.3319,                 1.3212,                 1.8918,                0.96102,                0.89757,                0.90094,                0.65021,                0.97997,                 1.1228,                 1.6657,             0.00054478,             0.00054478,             0.00054478
                     36,                 1.2391,                 1.2655,                 1.8394,                0.96869,                0.77623,                0.86995,                0.62515,                 1.0884,                  1.216,                 1.8243,             0.00051177,             0.00051177,             0.00051177
                     37,                 1.2552,                 1.2503,                 1.8379,                 0.9202,                0.84623,                0.89569,                0.60187,                   1.22,                  1.225,                 1.8764,             0.00047876,             0.00047876,             0.00047876
                     38,                 1.2255,                 1.1979,                  1.811,                0.96718,                0.87368,                0.89656,                0.62612,                 1.1892,                 1.1958,                 1.8265,             0.00044576,             0.00044576,             0.00044576
                     39,                 1.2489,                 1.2057,                 1.8025,                0.95615,                0.87368,                0.88208,                0.62163,                 1.1608,                 1.2107,                 1.7968,             0.00041275,             0.00041275,             0.00041275
                     40,                 1.2153,                 1.1237,                 1.7896,                0.93887,                0.87368,                0.88243,                0.62696,                 1.1306,                 1.1644,                 1.7586,             0.00037974,             0.00037974,             0.00037974
                     41,                 1.1027,                 1.4971,                 1.7929,                0.87614,                0.87368,                0.87806,                0.60546,                 1.1482,                 1.1989,                 1.7493,             0.00034674,             0.00034674,             0.00034674
                     42,                  1.094,                 1.2604,                 1.7761,                0.94977,                0.79474,                0.85539,                0.56838,                 1.2531,                 1.3075,                 1.8279,             0.00031373,             0.00031373,             0.00031373
                     43,                  1.086,                 1.2437,                 1.7478,                0.97046,                0.81906,                0.87719,                0.63179,                0.97394,                 1.2337,                 1.6565,             0.00028072,             0.00028072,             0.00028072
                     44,                 1.0546,                 1.1889,                 1.7837,                0.96822,                0.84737,                0.89969,                0.64733,                 1.0145,                 1.1104,                 1.6751,             0.00024772,             0.00024772,             0.00024772
                     45,                 1.0085,                 1.1139,                 1.6749,                 0.9668,                0.86424,                0.90186,                 0.6444,                 1.0751,                  1.076,                 1.6843,             0.00021471,             0.00021471,             0.00021471
                     46,                 1.0148,                 1.1332,                 1.7068,                0.93823,                0.87368,                0.90013,                0.64225,                0.99762,                  1.041,                 1.6261,              0.0001817,              0.0001817,              0.0001817
                     47,                0.96948,                 1.0802,                 1.6541,                0.96295,                0.88213,                0.90942,                0.64154,                0.96245,                 1.0263,                 1.6071,              0.0001487,              0.0001487,              0.0001487
                     48,                 0.9769,                 1.0787,                 1.6501,                0.90871,                0.87368,                0.89998,                 0.6501,                0.98752,                 1.0302,                 1.6242,             0.00011569,             0.00011569,             0.00011569
                     49,                0.94904,                 1.0294,                 1.6241,                0.93712,                    0.9,                0.90971,                  0.658,                0.99978,                 1.0302,                 1.6371,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.96695,                 1.0389,                  1.675,                0.91494,                0.87368,                0.89193,                0.65474,                 1.0174,                 1.0236,                 1.6596,             4.9677e-05,             4.9677e-05,             4.9677e-05
