                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7281,                  2.472,                  2.303,                 0.7792,                0.72965,                0.76471,                0.35071,                 1.7158,                 2.5987,                 2.3742,             0.00055236,             0.00055236,             0.00055236
                      2,                 1.6771,                 1.9903,                 2.1822,                0.81033,                 0.8497,                0.91234,                0.50206,                 1.5071,                 1.7253,                 2.0717,              0.0010349,              0.0010349,              0.0010349
                      3,                 1.6671,                    1.7,                 2.1058,                0.84307,                0.82814,                0.88927,                0.42891,                  1.758,                 1.3506,                 2.2933,              0.0014441,              0.0014441,              0.0014441
                      4,                 1.6015,                 1.4984,                 2.0267,                0.91117,                0.89763,                0.93775,                0.52569,                 1.5523,                 1.0331,                 2.0129,              0.0013369,              0.0013369,              0.0013369
                      5,                 1.5402,                 1.3764,                 1.9667,                0.96329,                0.92248,                0.96332,                0.58922,                 1.3247,                0.95649,                 1.8247,              0.0012269,              0.0012269,              0.0012269
                      6,                 1.3865,                0.94704,                 1.9422,                 0.9501,                0.91218,                0.96288,                0.59178,                  1.373,                 0.8133,                 1.7878,              0.0011169,              0.0011169,              0.0011169
                      7,                 1.3239,                0.82598,                 1.8727,                0.95422,                0.91869,                0.96167,                0.56343,                 1.5198,                 0.8541,                  1.935,              0.0010069,              0.0010069,              0.0010069
                      8,                 1.2772,                0.75395,                 1.8362,                 0.9384,                  0.952,                0.96312,                0.60978,                 1.3903,                0.72454,                 1.7987,             0.00089685,             0.00089685,             0.00089685
                      9,                 1.2307,                0.71241,                 1.7766,                0.90652,                0.93619,                0.95989,                0.56678,                 1.4813,                0.78752,                 1.9096,             0.00078682,             0.00078682,             0.00078682
                     10,                 1.1913,                0.66577,                 1.7387,                0.97568,                 0.9556,                0.98486,                0.66791,                 1.2898,                0.64392,                 1.7137,              0.0006768,              0.0006768,              0.0006768
                     11,                 1.1491,                0.64302,                  1.691,                0.97282,                0.96132,                0.98684,                 0.6862,                 1.1939,                0.60692,                 1.6183,             0.00056678,             0.00056678,             0.00056678
                     12,                 1.1221,                0.60522,                  1.676,                0.99027,                0.97317,                 0.9879,                  0.709,                 1.1006,                0.57281,                 1.5385,             0.00045676,             0.00045676,             0.00045676
                     13,                 1.0781,                0.57578,                 1.6268,                0.98068,                0.97768,                0.98957,                0.72494,                 1.0672,                0.54421,                 1.4859,             0.00034674,             0.00034674,             0.00034674
                     14,                 1.0659,                0.55218,                 1.6078,                0.99476,                0.98179,                0.99147,                0.73498,                 1.0718,                0.52771,                 1.4957,             0.00023671,             0.00023671,             0.00023671
                     15,                 1.0262,                0.53485,                 1.5713,                 0.9871,                0.98752,                 0.9928,                0.74069,                  1.036,                0.51772,                 1.4705,             0.00012669,             0.00012669,             0.00012669
