                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.496,                 2.8352,                 2.0593,                0.83954,                0.77305,                0.88176,                0.48924,                  1.589,                  1.557,                  2.216,             0.00055032,             0.00055032,             0.00055032
                      2,                 1.5602,                 2.4662,                 2.1211,                0.61887,                0.64387,                0.74113,                0.35961,                 1.7023,                 1.8661,                 2.3793,              0.0010841,              0.0010841,              0.0010841
                      3,                 1.6433,                 2.3232,                 2.1794,                0.77369,                0.61801,                0.74622,                0.40574,                 1.5559,                 1.6153,                  2.212,              0.0015959,              0.0015959,              0.0015959
                      4,                 1.6245,                  2.187,                 2.1363,                0.81463,                0.76411,                 0.8618,                0.47451,                 1.5442,                 1.2989,                 2.1167,               0.001568,               0.001568,               0.001568
                      5,                 1.5741,                 1.9686,                 2.0736,                0.82822,                0.68542,                0.79591,                0.43676,                 1.6296,                 1.3179,                 2.2449,               0.001535,               0.001535,               0.001535
                      6,                 1.5423,                 1.8065,                 2.0163,                 0.8959,                0.88455,                0.92392,                0.53609,                 1.4091,                 1.1117,                 1.9687,               0.001502,               0.001502,               0.001502
                      7,                 1.4964,                 1.7635,                 1.9658,                0.86673,                0.83296,                 0.9062,                0.48823,                 1.5062,                 1.1489,                 2.0572,               0.001469,               0.001469,               0.001469
                      8,                 1.4467,                  1.623,                  1.922,                0.91461,                0.87615,                0.93428,                0.57195,                 1.3618,                 1.0011,                 1.9332,               0.001436,               0.001436,               0.001436
                      9,                 1.4071,                 1.6139,                   1.88,                0.91009,                0.89691,                0.94416,                0.57733,                 1.3817,                0.99949,                 1.9183,              0.0014029,              0.0014029,              0.0014029
                     10,                   1.42,                 1.5503,                 1.8839,                0.92201,                0.87618,                0.94764,                0.57307,                 1.3631,                0.95564,                 1.8941,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.3877,                 1.4947,                 1.8396,                0.94427,                0.93447,                0.96751,                0.61035,                 1.2917,                0.80432,                 1.7985,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.3261,                 1.4488,                 1.7943,                0.94451,                0.93387,                 0.9661,                0.58552,                 1.2949,                0.87902,                  1.794,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.3014,                 1.3925,                 1.7756,                0.95056,                0.91831,                0.97176,                0.62556,                 1.2568,                0.87014,                 1.7449,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.3101,                 1.4446,                 1.7769,                0.88169,                0.89701,                0.94014,                0.60397,                 1.2935,                0.92344,                 1.7631,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.2898,                 1.3853,                 1.7511,                0.90841,                0.91315,                0.94166,                0.61132,                 1.2526,                0.82747,                  1.726,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.2381,                 1.3131,                 1.6939,                0.97853,                0.94706,                0.97791,                0.66129,                 1.1356,                0.69327,                  1.608,              0.0011719,              0.0011719,              0.0011719
                     17,                 1.2334,                 1.3353,                 1.6963,                0.95835,                0.95557,                0.97334,                0.65492,                 1.1834,                0.73896,                 1.6414,              0.0011389,              0.0011389,              0.0011389
                     18,                 1.2453,                 1.3087,                 1.6916,                0.96004,                0.95507,                0.98142,                0.65457,                 1.1876,                0.73719,                 1.6637,              0.0011059,              0.0011059,              0.0011059
                     19,                 1.2411,                 1.3354,                 1.6924,                0.98805,                0.96522,                0.98737,                0.68271,                 1.1362,                 0.7644,                 1.5973,              0.0010729,              0.0010729,              0.0010729
                     20,                 1.2092,                 1.2641,                 1.6686,                0.96176,                0.95153,                0.98364,                0.66098,                 1.1469,                0.71603,                 1.6054,              0.0010399,              0.0010399,              0.0010399
                     21,                 1.1781,                 1.2474,                  1.637,                0.97639,                0.95556,                0.97669,                 0.6624,                 1.1726,                0.72679,                 1.6437,              0.0010069,              0.0010069,              0.0010069
                     22,                  1.205,                 1.2589,                 1.6484,                0.97003,                0.94965,                0.98048,                0.68007,                 1.1127,                0.70754,                  1.553,             0.00097386,             0.00097386,             0.00097386
                     23,                 1.1652,                 1.2428,                 1.6126,                0.97634,                0.96967,                0.98772,                0.67019,                  1.133,                0.72769,                 1.6101,             0.00094085,             0.00094085,             0.00094085
                     24,                 1.1752,                 1.2101,                  1.622,                 0.9448,                0.93928,                0.96684,                0.66333,                 1.1503,                0.78594,                 1.6075,             0.00090785,             0.00090785,             0.00090785
                     25,                 1.1239,                 1.1892,                 1.5957,                0.98825,                0.96865,                0.99157,                0.71757,                 1.0542,                0.66939,                 1.5284,             0.00087484,             0.00087484,             0.00087484
                     26,                 1.1008,                 1.1578,                 1.5724,                0.98845,                0.98198,                0.99464,                0.71243,                 1.0702,                0.62977,                 1.5371,             0.00084184,             0.00084184,             0.00084184
                     27,                  1.098,                 1.1471,                  1.565,                0.97515,                0.97285,                 0.9871,                 0.7025,                 1.0394,                0.66172,                 1.5028,             0.00080883,             0.00080883,             0.00080883
                     28,                 1.0979,                 1.1522,                 1.5631,                0.96505,                0.97792,                0.99033,                0.72388,                 1.0311,                 0.6523,                 1.4819,             0.00077582,             0.00077582,             0.00077582
                     29,                 1.0885,                 1.1294,                 1.5447,                 0.9881,                0.98293,                0.99064,                0.72053,                 1.0304,                0.57607,                 1.4889,             0.00074282,             0.00074282,             0.00074282
                     30,                 1.0959,                 1.1305,                 1.5592,                0.98089,                0.97556,                0.98626,                0.73163,                 1.0072,                0.58968,                 1.4564,             0.00070981,             0.00070981,             0.00070981
                     31,                 1.0728,                 1.1271,                  1.525,                0.97281,                0.98198,                0.98731,                 0.7338,                0.99241,                0.57558,                 1.4372,              0.0006768,              0.0006768,              0.0006768
                     32,                 1.0524,                 1.1092,                 1.5287,                0.98445,                0.96822,                0.98882,                0.72865,                0.99997,                 0.5804,                 1.4627,              0.0006438,              0.0006438,              0.0006438
