                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.0292,                 1.0869,                 1.5109,                0.98705,                0.97556,                0.98768,                0.73721,                0.99394,                0.57317,                 1.4419,             0.00061079,             0.00061079,             0.00061079
                     34,                 1.0499,                  1.099,                 1.5189,                0.98866,                0.97957,                0.99271,                0.74153,                0.98087,                0.60135,                 1.4402,             0.00057778,             0.00057778,             0.00057778
                     35,                 1.0234,                 1.0654,                 1.5034,                0.98426,                0.97712,                0.98974,                0.74698,                0.96609,                0.56464,                 1.4296,             0.00054478,             0.00054478,             0.00054478
                     36,                0.99014,                 1.0637,                 1.4862,                0.98845,                0.98865,                 0.9946,                0.75461,                0.94965,                0.60278,                 1.4034,             0.00051177,             0.00051177,             0.00051177
                     37,                 1.0096,                 1.0506,                 1.4842,                0.98826,                0.98153,                0.99056,                0.74399,                0.98584,                0.58414,                 1.4357,             0.00047876,             0.00047876,             0.00047876
                     38,                0.96826,                  1.033,                 1.4538,                0.98673,                0.98643,                0.99302,                0.75838,                 0.9278,                0.55494,                 1.4013,             0.00044576,             0.00044576,             0.00044576
                     39,                 0.9676,                 1.0558,                 1.4592,                0.99118,                0.98648,                0.99424,                0.76467,                0.92587,                 0.5483,                 1.3919,             0.00041275,             0.00041275,             0.00041275
                     40,                0.94909,                 1.0303,                 1.4395,                0.98765,                0.97916,                0.99295,                0.76713,                0.92398,                0.53179,                 1.3854,             0.00037974,             0.00037974,             0.00037974
                     41,                0.86332,                0.93405,                  1.395,                0.98265,                0.98314,                0.99272,                0.76775,                0.89626,                0.58894,                 1.3621,             0.00034674,             0.00034674,             0.00034674
                     42,                0.85462,                0.89241,                 1.3808,                0.98902,                0.98113,                0.98947,                0.77484,                 0.8934,                0.58048,                 1.3634,             0.00031373,             0.00031373,             0.00031373
                     43,                0.81265,                0.87518,                 1.3304,                0.98608,                 0.9811,                 0.9927,                0.76202,                0.87862,                0.57482,                  1.344,             0.00028072,             0.00028072,             0.00028072
                     44,                0.79425,                 0.8614,                  1.339,                0.98886,                0.97894,                 0.9897,                0.78161,                0.87473,                0.56058,                 1.3407,             0.00024772,             0.00024772,             0.00024772
                     45,                0.79595,                0.85083,                 1.3273,                0.99363,                0.98551,                0.99241,                0.77538,                0.85574,                0.56636,                 1.3323,             0.00021471,             0.00021471,             0.00021471
                     46,                0.77929,                0.83804,                  1.316,                0.99136,                0.97824,                 0.9929,                0.78457,                 0.8509,                0.55775,                 1.3207,              0.0001817,              0.0001817,              0.0001817
                     47,                0.76746,                0.83345,                 1.3119,                0.98846,                0.97786,                0.99246,                0.79728,                0.84168,                0.55401,                 1.3132,              0.0001487,              0.0001487,              0.0001487
                     48,                0.75818,                0.82345,                 1.3025,                0.98629,                0.98413,                0.99222,                0.78978,                0.84055,                0.53928,                 1.3095,             0.00011569,             0.00011569,             0.00011569
                     49,                0.74758,                0.83232,                 1.2901,                 0.9884,                 0.9773,                0.99212,                0.79282,                0.82382,                0.53573,                 1.3057,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.74172,                 0.8278,                 1.2896,                0.99299,                0.98186,                0.99331,                0.79487,                0.80884,                0.53492,                 1.2932,             4.9677e-05,             4.9677e-05,             4.9677e-05
